,stock,date,neg,neu,pos,compound,open,high,low,close,adj close,volume
82,V,2023-10-21,0.0465,0.853,0.1005,0.8684,,,,,,
83,V,2023-10-22,0.016,0.839,0.1445,0.9961,,,,,,
84,V,2023-10-23,0.0,0.894,0.106,0.885,231.360001,234.460007,231.279999,231.529999,231.038132,5071700.0
85,V,2023-10-24,0.0095,0.886,0.1045,0.8889,232.889999,236.529999,232.889999,234.649994,234.151489,6844100.0
86,V,2023-10-25,0.011,0.85,0.1395,0.9988,232.25,238.479996,231.289993,236.850006,236.346832,10365300.0
87,V,2023-10-26,0.038,0.8495,0.1125,0.9828,234.570007,235.610001,230.360001,231.279999,230.788666,6414500.0
88,V,2023-10-27,0.05,0.808,0.142,0.9989,231.169998,231.389999,228.029999,229.270004,228.782944,5540900.0
89,V,2023-10-28,0.023,0.824,0.153,0.9999,,,,,,
90,V,2023-10-29,0.0625,0.8215,0.116,0.0665,,,,,,
91,V,2023-10-30,0.0625,0.8215,0.116,0.0665,232.190002,233.380005,230.029999,233.080002,232.584839,5170300.0
92,V,2023-10-31,0.005,0.884,0.111,0.9921,233.570007,235.720001,232.990005,235.100006,234.600555,4828400.0
93,VZ,2023-10-01,0.06,0.8445,0.095,0.0129,,,,,,
94,VZ,2023-10-02,0.0195,0.88,0.1,0.9928,32.439999,32.470001,31.73,31.76,31.096254,24722600.0
95,VZ,2023-10-03,0.0195,0.88,0.1,0.9928,31.700001,32.009998,31.610001,31.98,31.311655,21389400.0
96,VZ,2023-10-04,0.0145,0.834,0.152,0.9981,31.790001,31.969999,31.4,31.540001,30.880852,23694100.0
97,VZ,2023-10-05,0.0145,0.834,0.152,0.9981,31.559999,31.92,31.379999,31.82,31.154999,22774400.0
98,VZ,2023-10-06,,,,,30.940001,31.0,30.139999,30.85,30.85,31277900.0
99,VZ,2023-10-08,0.021,0.86,0.119,0.9932,,,,,,
100,VZ,2023-10-09,0.021,0.86,0.119,0.9932,30.74,31.5,30.74,31.450001,31.450001,20344300.0
101,VZ,2023-10-10,0.005,0.869,0.1265,0.9978,31.48,31.799999,31.32,31.76,31.76,19151900.0
102,VZ,2023-10-11,0.012,0.849,0.139,0.9987,31.83,31.969999,31.41,31.459999,31.459999,15694200.0
103,VZ,2023-10-12,0.0305,0.8255,0.1435,0.9984,31.33,31.370001,30.65,30.91,30.91,21718300.0
104,VZ,2023-10-13,0.033,0.843,0.1235,0.998,31.08,31.389999,30.639999,30.67,30.67,24528400.0
105,VZ,2023-10-15,0.0125,0.8805,0.107,0.9938,,,,,,
106,VZ,2023-10-16,0.0345,0.8485,0.1165,0.9938,30.84,31.32,30.620001,31.25,31.25,21087900.0
107,VZ,2023-10-17,0.0295,0.846,0.124,0.9931,31.110001,31.540001,31.1,31.51,31.51,21186000.0
108,VZ,2023-10-18,0.003,0.914,0.083,0.995,31.42,31.48,30.99,31.049999,31.049999,22024300.0
109,VZ,2023-10-19,0.005,0.945,0.0495,0.6864,31.42,31.969999,31.4,31.58,31.58,28806600.0
110,VZ,2023-10-20,0.0175,0.917,0.065,0.6888,31.57,32.139999,31.549999,31.57,31.57,27265100.0
111,VZ,2023-10-21,0.024,0.9,0.076,0.9966,,,,,,
112,VZ,2023-10-22,0.044,0.8595,0.096,0.1778,,,,,,
113,VZ,2023-10-23,0.0255,0.8365,0.138,0.9913,31.48,31.66,31.26,31.389999,31.389999,31725800.0
114,VZ,2023-10-24,0.0235,0.808,0.168,1.0,33.150002,34.459999,32.970001,34.299999,34.299999,61617900.0
115,VZ,2023-10-25,0.017,0.8275,0.1555,0.9991,34.5,34.610001,33.599998,33.689999,33.689999,30832800.0
116,VZ,2023-10-26,0.018,0.882,0.1,0.9926,33.66,34.700001,33.639999,34.470001,34.470001,34367000.0
117,VZ,2023-10-27,0.0245,0.864,0.1115,0.9889,34.380001,34.59,33.34,33.439999,33.439999,23924800.0
118,VZ,2023-10-28,0.029,0.861,0.11,0.992,,,,,,
119,VZ,2023-10-29,0.025,0.8495,0.1255,0.9966,,,,,,
120,VZ,2023-10-30,0.025,0.8495,0.1255,0.9966,33.84,34.799999,33.84,34.619999,34.619999,31497700.0
121,VZ,2023-10-31,0.023,0.9065,0.0705,0.9602,34.709999,35.209999,34.669998,35.130001,35.130001,28903400.0
