Stock,Date,neg,neu,pos,compound,Open,High,Low,Close,Adj Close,Volume
DIS,2023-10-30,0.01,0.88,0.11,0.9939,79.720001,80.93,79.529999,80.68,80.68,10291200.0
DIS,2023-10-31,0.0325,0.827,0.1405,0.9898,80.690002,81.669998,80.330002,81.589996,81.589996,8672200.0
XOM,2023-10-01,0.0135,0.8655,0.121,0.9954,,,,,,
XOM,2023-10-02,0.0135,0.8655,0.121,0.9954,117.529999,117.790001,114.550003,115.629997,114.582222,14395000.0
XOM,2023-10-03,0.0255,0.8665,0.108,0.6456,115.440002,116.440002,115.029999,115.830002,114.780411,13297100.0
XOM,2023-10-04,0.0265,0.8285,0.145,0.992,114.050003,114.089996,110.5,111.5,110.489647,19622200.0
XOM,2023-10-05,0.0135,0.872,0.1145,0.9919,109.800003,110.900002,108.699997,108.989998,108.002388,20128800.0
XOM,2023-10-06,0.0135,0.829,0.1575,0.9968,105.730003,108.269997,105.110001,107.169998,106.198883,25363400.0
XOM,2023-10-07,0.0455,0.8385,0.1165,0.188,,,,,,
XOM,2023-10-08,0.0355,0.7905,0.1745,0.1878,,,,,,
XOM,2023-10-09,0.015,0.8005,0.1845,0.9977,110.440002,112.07,109.519997,110.919998,109.914902,22369900.0
XOM,2023-10-10,0.0265,0.838,0.135,0.9963,111.019997,111.449997,110.120003,110.449997,109.449158,13892000.0
XOM,2023-10-11,0.0155,0.8155,0.1685,0.9972,106.959999,107.169998,104.830002,106.489998,105.52504,57939000.0
XOM,2023-10-12,0.015,0.817,0.168,0.9984,107.589996,107.839996,106.089996,106.470001,105.505226,31183000.0
XOM,2023-10-13,0.0285,0.8225,0.149,0.9994,108.029999,110.199997,107.839996,109.870003,108.87442,30276500.0
XOM,2023-10-14,0.0245,0.886,0.0895,0.9903,,,,,,
XOM,2023-10-15,0.009,0.903,0.0885,0.9919,,,,,,
XOM,2023-10-16,0.016,0.883,0.1015,0.9948,110.5,110.68,109.129997,109.949997,108.95369,18452000.0
XOM,2023-10-17,0.078,0.83,0.0915,0.0056,109.730003,111.800003,109.68,111.389999,110.380646,19775400.0
XOM,2023-10-18,0.0225,0.857,0.121,0.9841,111.82,113.389999,111.699997,112.949997,111.926506,23380300.0
XOM,2023-10-19,0.0235,0.845,0.132,0.9978,112.720001,113.970001,111.330002,113.019997,111.995872,20972500.0
XOM,2023-10-20,0.022,0.8535,0.1245,0.996,112.919998,113.32,110.790001,111.080002,110.073456,22439800.0
XOM,2023-10-21,0.0535,0.8625,0.084,0.5369,,,,,,
XOM,2023-10-22,0.035,0.874,0.091,0.9863,,,,,,
XOM,2023-10-23,0.035,0.874,0.091,0.9863,110.629997,110.959999,108.68,109.449997,108.458221,18185000.0
XOM,2023-10-24,0.0285,0.8685,0.1025,0.9935,109.699997,109.82,108.120003,108.389999,107.407829,16786100.0
XOM,2023-10-25,0.0265,0.859,0.1145,0.982,108.519997,109.5,108.129997,108.589996,107.60601,22047300.0
XOM,2023-10-26,0.0235,0.8775,0.099,0.9917,107.449997,108.339996,106.5,107.599998,106.624985,18768300.0
XOM,2023-10-27,0.016,0.8585,0.1255,0.9978,108.889999,109.860001,104.959999,105.550003,104.593567,23092000.0
XOM,2023-10-28,0.045,0.844,0.111,0.1631,,,,,,
XOM,2023-10-29,0.0415,0.778,0.1805,0.999,,,,,,
XOM,2023-10-30,0.033,0.8245,0.1425,0.9987,105.739998,106.419998,105.209999,105.879997,104.92057,19379900.0
XOM,2023-10-31,0.033,0.8245,0.1425,0.9987,105.580002,106.160004,104.540001,105.849998,104.890846,22185200.0
MA,2023-10-24,,,,,385.5,389.429993,383.869995,386.910004,386.910004,2003300.0
