stock,date,neg,neu,pos,compound,open,high,low,close,adj close,volume
HD,2023-10-23,0.0452,0.827,0.1278,0.7868,285.820007,288.25,284.329987,285.070007,285.070007,2590900.0
HD,2023-10-24,0.0132,0.8752,0.1118,0.9873,286.73999,287.910004,282.029999,283.309998,283.309998,2705200.0
HD,2023-10-25,0.013,0.8732,0.114,0.9882,281.75,283.230011,279.200012,280.929993,280.929993,2962800.0
HD,2023-10-26,0.015,0.8477,0.1373,0.995,280.529999,283.23999,277.75,278.0,278.0,3108200.0
HD,2023-10-27,0.0163,0.8457,0.1383,0.9957,278.980011,279.670013,274.26001,276.459991,276.459991,2907300.0
HD,2023-10-28,0.02,0.855,0.1255,0.9961,,,,,,
HD,2023-10-29,0.0517,0.8235,0.1245,0.4487,,,,,,
HD,2023-10-30,0.021,0.8385,0.1403,0.9515,277.470001,282.320007,276.959991,281.480011,281.480011,3074400.0
HD,2023-10-31,0.0095,0.8795,0.111,0.9033,282.589996,285.399994,281.619995,284.690002,284.690002,3036000.0
JNJ,2023-10-01,0.024,0.8305,0.1462,0.9957,,,,,,
JNJ,2023-10-02,0.0563,0.8522,0.092,0.4116,155.419998,155.419998,153.320007,155.149994,155.149994,7259700.0
JNJ,2023-10-03,0.0838,0.8333,0.083,-0.0847,154.679993,155.5,153.889999,155.339996,155.339996,5740800.0
JNJ,2023-10-04,0.157,0.806,0.037,-0.9975,155.570007,155.929993,154.570007,155.520004,155.520004,4955200.0
JNJ,2023-10-05,0.03,0.818,0.151,0.9956,156.270004,158.039993,156.070007,157.139999,157.139999,5993300.0
JNJ,2023-10-06,0.03,0.818,0.151,0.9956,157.080002,158.300003,156.589996,157.639999,157.639999,5801100.0
JNJ,2023-10-07,0.079,0.816,0.105,0.9862,,,,,,
JNJ,2023-10-09,0.0323,0.8167,0.1507,0.9986,157.179993,158.880005,157.089996,158.539993,158.539993,4414100.0
JNJ,2023-10-10,0.0267,0.7752,0.198,0.9852,158.380005,159.270004,157.899994,158.360001,158.360001,5273500.0
JNJ,2023-10-11,0.0215,0.7883,0.1903,0.9851,158.460007,159.050003,156.039993,156.179993,156.179993,6922900.0
JNJ,2023-10-12,0.0435,0.8458,0.1105,0.4982,155.919998,156.559998,155.070007,156.330002,156.330002,5792400.0
JNJ,2023-10-13,0.047,0.8627,0.0903,0.2808,156.729996,157.360001,156.050003,156.850006,156.850006,5359800.0
JNJ,2023-10-14,0.0385,0.8625,0.0985,0.9207,,,,,,
JNJ,2023-10-15,0.019,0.852,0.128,0.9941,,,,,,
JNJ,2023-10-16,0.0278,0.8818,0.0902,0.9892,157.820007,158.25,156.839996,157.529999,157.529999,6408100.0
JNJ,2023-10-17,0.0278,0.8818,0.0902,0.9892,155.979996,158.949997,154.610001,156.089996,156.089996,12244400.0
JNJ,2023-10-18,0.0335,0.835,0.1318,0.6005,155.410004,155.949997,152.050003,152.729996,152.729996,9097300.0
JNJ,2023-10-19,0.0285,0.8768,0.0948,0.9284,151.669998,153.110001,150.149994,152.320007,152.320007,7733800.0
JNJ,2023-10-20,0.037,0.8808,0.0823,0.7116,152.740005,153.869995,152.330002,153.0,153.0,7206600.0
JNJ,2023-10-21,0.0367,0.852,0.1113,0.3342,,,,,,
JNJ,2023-10-22,0.0143,0.86,0.1257,0.9974,,,,,,
JNJ,2023-10-23,0.0143,0.86,0.1257,0.9974,152.860001,153.5,151.210007,151.389999,151.389999,5874000.0
